Miejscowosc                   Srednia                       Min                           Max                           
Ambodivoanio                  -16.1833                      -16.1833                      -16.1833                      
Pantin                        48.8966                       48.8966                       48.8966                       
Sher Chakla                   25.3848                       25.3848                       25.3848                       
New Orleans                   30.0687                       30.0687                       30.0687                       
Morros                        -2.8639                       -2.8639                       -2.8639                       
Caxias do Sul                 -29.1667                      -29.1667                      -29.1667                      
Mar del Plata                 -38                           -38                           -38                           
Warstein                      51.45                         51.45                         51.45                         
Fuente Palmera                37.7                          37.7                          37.7                          
Maldon                        51.7318                       51.7318                       51.7318                       
Taihe                         30.8706                       30.8706                       30.8706                       
Metema                        12.9667                       12.9667                       12.9667                       
Odintsovo                     55.6667                       55.6667                       55.6667                       
Hacienda Heights              33.997                        33.997                        33.997                        
Palu                          18.9044                       -0.895                        38.7039                       
Owerri                        5.4833                        5.4833                        5.4833                        
Mount Lebanon                 40.3752                       40.3752                       40.3752                       
Al Badrashayn                 29.852                        29.852                        29.852                        
Huixquilucan                  19.3611                       19.3611                       19.3611                       
Chitarpur                     23.5794                       23.5794                       23.5794                       
Madagh                        35.0133                       35.0133                       35.0133                       
Ixtlahuaca                    19.5689                       19.5689                       19.5689                       
Susner                        23.9467                       23.9467                       23.9467                       
Santiago de Cuba              20.0217                       20.0217                       20.0217                       
Soledad de Doblado            19.0447                       19.0447                       19.0447                       
Huaquillas                    -3.4814                       -3.4814                       -3.4814                       
Qingzhou                      36.6967                       36.6967                       36.6967                       
Cromer                        52.931                        52.931                        52.931                        
Laukaria                      26.7184                       26.7184                       26.7184                       
Yokosuka                      35.25                         35.25                         35.25                         
Capas                         15.3372                       15.3372                       15.3372                       
Dinan                         48.4556                       48.4556                       48.4556                       
Winterthur                    47.4989                       47.4989                       47.4989                       
Nanmeng                       39.1773                       39.1773                       39.1773                       
Mihona                        26.2837                       26.2837                       26.2837                       
Loznica                       44.5333                       44.5333                       44.5333                       
Isoanala                      -23.8333                      -23.8333                      -23.8333                      
Breda                         51.5889                       51.5889                       51.5889                       
Konotop                       51.2369                       51.2369                       51.2369                       
Tenente Ananias               -6.465                        -6.465                        -6.465                        
Cocieri                       47.3                          47.3                          47.3                          
El Mirage                     33.5905                       33.5905                       33.5905                       
Lichuan                       30.2965                       30.2965                       30.2965                       
Daye                          30.1003                       30.1003                       30.1003                       
Grasse                        43.6667                       43.6667                       43.6667                       
Launaguet                     43.6739                       43.6739                       43.6739                       
Hartford                      42.9176                       41.7661                       43.6644                       
Deniliquin                    -35.5331                      -35.5331                      -35.5331                      
Babhanganwa                   26.1398                       26.1398                       26.1398                       
Mariveles                     14.4333                       14.4333                       14.4333                       
El Estor                      15.5333                       15.5333                       15.5333                       
Zhuanghe                      39.6896                       39.6896                       39.6896                       
Sukrah                        36.8833                       36.8833                       36.8833                       
Quzhou                        28.9545                       28.9545                       28.9545                       
Atchoupa                      6.5333                        6.5333                        6.5333                        
Terrier Rouge                 19.6333                       19.6333                       19.6333                       
Soacha                        4.5872                        4.5872                        4.5872                        
Brumadinho                    -20.1428                      -20.1428                      -20.1428                      
Guadalupe Victoria            19.2833                       19.2833                       19.2833                       
Salta                         -24.7833                      -24.7833                      -24.7833                      
Yattir                        31.4478                       31.4478                       31.4478                       
Narasannapeta                 18.4151                       18.4151                       18.4151                       
Hayden                        47.768                        47.768                        47.768                        
La Courneuve                  48.9322                       48.9322                       48.9322                       
Lautoka                       -17.6242                      -17.6242                      -17.6242                      
Lhasa                         29.6534                       29.6534                       29.6534                       
Jalapa                        15.42                         13.9222                       17.7                          
Medicine Hat                  50.0417                       50.0417                       50.0417                       
Orivesi                       61.675                        61.675                        61.675                        
Cankova                       46.7193                       46.7193                       46.7193                       
Suez                          29.9667                       29.9667                       29.9667                       
Kariya                        34.8705                       34.7517                       34.9893                       
Jiaozhou                      36.2481                       36.2481                       36.2481                       
Norseman                      -32.1961                      -32.1961                      -32.1961                      
Tasikmalaya                   -7.3161                       -7.3161                       -7.3161                       
Plauen                        50.4833                       50.4833                       50.4833                       
Centralia                     42.6223                       38.5224                       46.7223                       
Dourados                      -22.2208                      -22.2208                      -22.2208                      
Forest Park                   38.2584                       33.6209                       41.8683                       
Araraquara                    -21.7939                      -21.7939                      -21.7939                      
Scarborough                   36.3506                       11.1833                       54.2773                       
Niigata                       37.9161                       37.9161                       37.9161                       
Shiogama                      38.3144                       38.3144                       38.3144                       
Dongmaying                    39.1221                       39.1221                       39.1221                       
Beladi                        13.1464                       13.1464                       13.1464                       
Penistone                     53.525                        53.525                        53.525                        
Roudnice nad Labem            50.4254                       50.4254                       50.4254                       
Hawick                        55.422                        55.422                        55.422                        
Gusau                         12.15                         12.15                         12.15                         
Haeju                         38.0333                       38.0333                       38.0333                       
Sabana Grande de Palenque     18.2667                       18.2667                       18.2667                       
Bunia                         1.5667                        1.5667                        1.5667                        
Companiganj                   22.875                        22.875                        22.875                        
Yangchun                      22.1717                       22.1717                       22.1717                       
Larantuka                     -8.3133                       -8.3133                       -8.3133                       
Angatuba                      -23.4903                      -23.4903                      -23.4903                      
Wattignies                    50.585                        50.585                        50.585                        
Jangipur                      24.47                         24.47                         24.47                         
El Refugio                    13.975                        13.975                        13.975                        
Bijiao                        22.9311                       22.9311                       22.9311                       
Ikeja                         6.6186                        6.6186                        6.6186                        
Wanaque                       41.044                        41.044                        41.044                        
Abeokuta                      7.1608                        7.1608                        7.1608                        
Clanton                       32.8444                       32.8444                       32.8444                       
Chaguanas                     10.5167                       10.5167                       10.5167                       
Colatina                      -19.5389                      -19.5389                      -19.5389                      
West Chicago                  41.896                        41.896                        41.896                        
Vilsbiburg                    48.45                         48.45                         48.45                         
Bhainsahi                     26.4404                       26.4404                       26.4404                       
Vatana                        -22.2167                      -22.2167                      -22.2167                      
Taicheng                      38.7206                       38.7206                       38.7206                       
Jackson                       38.9306                       32.3157                       43.472                        
Klang                         3.0333                        3.0333                        3.0333                        
Bria                          6.5369                        6.5369                        6.5369                        
Paju                          37.8667                       37.8667                       37.8667                       
Troitsk                       54.0833                       54.0833                       54.0833                       
Bomporto                      44.7333                       44.7333                       44.7333                       
Antanandehibe                 -19.6833                      -19.6833                      -19.6833                      
Sibiu                         45.7928                       45.7928                       45.7928                       
Magalang                      15.2167                       15.2167                       15.2167                       
Kotma                         23.2038                       23.2038                       23.2038                       
Mulgund                       15.2807                       15.2807                       15.2807                       
Turin                         45.0792                       45.0792                       45.0792                       
Parras de la Fuente           25.4403                       25.4403                       25.4403                       
Hasuda                        35.9945                       35.9945                       35.9945                       
Tucson                        32.1541                       32.1541                       32.1541                       
Marcos Paz                    -34.7667                      -34.7667                      -34.7667                      
Rutherford                    4.05265                       -32.715                       40.8203                       
Pearl City                    21.4031                       21.4031                       21.4031                       
Bugulma                       54.5364                       54.5364                       54.5364                       
Rudarpur                      28.9708                       28.9708                       28.9708                       
Sale                          16.4524                       -38.1                         53.424                        
Jiquipilas                    16.5333                       16.5333                       16.5333                       
Gimpo                         37.7                          37.7                          37.7                          
Salihli                       38.4811                       38.4811                       38.4811                       
Bouira                        36.38                         36.38                         36.38                         
Kamianske                     48.5167                       48.5167                       48.5167                       
Fredericia                    55.5667                       55.5667                       55.5667                       
Gadoon                        5.6897                        5.6897                        5.6897                        
Chelles                       48.8833                       48.8833                       48.8833                       
Marseille                     43.2964                       43.2964                       43.2964                       
Liulin                        36.557                        36.557                        36.557                        
Tashi                         34.4977                       34.4977                       34.4977                       
Motozintla                    15.3632                       15.3632                       15.3632                       
Sablan                        16.4967                       16.4967                       16.4967                       
Jalandhar                     31.2569                       31.2569                       31.2569                       
Bucaramanga                   7.1333                        7.1333                        7.1333                        
Meybod                        32.2444                       32.2444                       32.2444                       
Toqsu                         41.5417                       41.5417                       41.5417                       
Ailan Mubage                  43.908                        43.908                        43.908                        
Kaifeng Chengguanzhen         34.8519                       34.8519                       34.8519                       
Humpata                       -15.0725                      -15.0725                      -15.0725                      
Sherborne                     50.9469                       50.9469                       50.9469                       
Andramy                       -17.9635                      -17.9635                      -17.9635                      
Gitagum                       8.5956                        8.5956                        8.5956                        
Pucallpa                      -8.3833                       -8.3833                       -8.3833                       
Dalachi                       36.6392                       36.6392                       36.6392                       
El Astillero                  43.4017                       43.4017                       43.4017                       
Nokia                         61.4767                       61.4767                       61.4767                       
Jiangjiafan                   31.0238                       31.0238                       31.0238                       
Chigasaki                     35.3333                       35.3333                       35.3333                       
Saki                          8.6667                        8.6667                        8.6667                        
Kalmar                        56.6614                       56.6614                       56.6614                       
Otar                          43.5375                       43.5375                       43.5375                       
Adrar                         27.8742                       27.8742                       27.8742                       
Spokane Valley                47.6626                       47.6626                       47.6626                       
Suzak                         40.8981                       40.8981                       40.8981                       
Walworth                      43.1633                       43.1633                       43.1633                       
Llagostera                    41.8292                       41.8292                       41.8292                       
Mold                          53.166                        53.166                        53.166                        
Saltillo                      25.4231                       25.4231                       25.4231                       
Gaomi                         36.3833                       36.3833                       36.3833                       
Dobrova                       46.0533                       46.0533                       46.0533                       
Kitakami                      39.2867                       39.2867                       39.2867                       
Notodden                      59.6294                       59.6294                       59.6294                       
Latakia                       35.5167                       35.5167                       35.5167                       
Madridejos                    25.3667                       11.2667                       39.4667                       
Kopeysk                       55.1                          55.1                          55.1                          
Mosigkau                      51.8333                       51.8333                       51.8333                       
Canela Baja                   -31.3989                      -31.3989                      -31.3989                      
Southampton                   43.9053                       39.9137                       50.9025                       
Buguruslan                    53.6583                       53.6583                       53.6583                       
Isanlu                        8.1667                        8.1667                        8.1667                        
Tanamarina                    -21.5731                      -21.5731                      -21.5731                      
Miharu                        37.4406                       37.4406                       37.4406                       
Hythe                         50.9703                       50.869                        51.0716                       
Ichinomiya                    35.3353                       35.3039                       35.3667                       
Yaupi                         -2.8379                       -2.8379                       -2.8379                       
Magdalena                     -3.30868                      -35.0833                      20.9092                       
Hermosillo                    29.0989                       29.0989                       29.0989                       
Karamay                       45.5799                       45.5799                       45.5799                       
Yakushima                     30.3903                       30.3903                       30.3903                       
Indaiatuba                    -23.0903                      -23.0903                      -23.0903                      
Atlatlahucan                  18.935                        18.935                        18.935                        
Shache                        38.4261                       38.4261                       38.4261                       
Plasencia                     40.0275                       40.0275                       40.0275                       
Gaggiano                      45.4048                       45.4048                       45.4048                       
Weichanglu                    37.1792                       37.1792                       37.1792                       
Somolu                        6.5408                        6.5408                        6.5408                        
Hailun                        47.4585                       47.4585                       47.4585                       
Garibaldi                     -29.2558                      -29.2558                      -29.2558                      
Tocopilla                     -22.0964                      -22.0964                      -22.0964                      
Malaybalay                    8.1564                        8.1564                        8.1564                        
Macheng                       31.1817                       31.1817                       31.1817                       
Strakonice                    49.2615                       49.2615                       49.2615                       
Zarasai                       55.7333                       55.7333                       55.7333                       
Caluya                        11.932                        11.932                        11.932                        
Jethuli                       25.5378                       25.5378                       25.5378                       
San Juan Zitlaltepec          19.7167                       19.7167                       19.7167                       
Novorossiysk                  44.7167                       44.7167                       44.7167                       
Uster                         47.35                         47.35                         47.35                         
Beidou                        23.8747                       23.8747                       23.8747                       
Akure                         7.25                          7.25                          7.25                          
Khandpara                     20.2644                       20.2644                       20.2644                       
Universal City                29.5521                       29.5521                       29.5521                       
Labinsk                       44.6333                       44.6333                       44.6333                       
Draa Ben Khedda               36.7349                       36.7349                       36.7349                       
Kurgan                        55.4408                       55.4408                       55.4408                       
Petrovec                      41.9389                       41.9389                       41.9389                       
Chicalim                      15.3994                       15.3994                       15.3994                       
Koumassi                      5.3                           5.3                           5.3                           
Kennedy Town                  22.28                         22.28                         22.28                         
Scranton                      41.4044                       41.4044                       41.4044                       
Pezinok                       48.2919                       48.2919                       48.2919                       
Fountain Hills                33.6073                       33.6073                       33.6073                       
Levakant                      37.8667                       37.8667                       37.8667                       
Antanifotsy                   -18.2734                      -19.68                        -16.8667                      
Saratov                       51.5333                       51.5333                       51.5333                       
Kew Green                     51.5308                       51.5308                       51.5308                       
Reina Mercedes Viejo          16.9872                       16.9872                       16.9872                       
Sarpang                       26.8639                       26.8639                       26.8639                       
Taozhou                       30.8956                       30.8956                       30.8956                       
Hazrat Shiura                 25.5976                       25.5976                       25.5976                       
Tando Allahyar                25.4667                       25.4667                       25.4667                       
Beckingen                     49.3928                       49.3928                       49.3928                       
Erbil                         36.1912                       36.1912                       36.1912                       
Attibele                      12.7781                       12.7781                       12.7781                       
Rossmoor                      33.7887                       33.7887                       33.7887                       
Zhukovskiy                    55.5972                       55.5972                       55.5972                       
Urbana                        39.8489                       39.3274                       40.1107                       
Taquari                       -29.8                         -29.8                         -29.8                         
Laredo                        35.4885                       27.5625                       43.4144                       
Pasig City                    14.575                        14.575                        14.575                        
Natonin                       17.1089                       17.1089                       17.1089                       
Hemsworth                     53.61                         53.61                         53.61                         
Kyaukpyu                      19.4264                       19.4264                       19.4264                       
Tarragona                     24.0839                       7.0491                        41.1187                       
Onchan                        54.175                        54.175                        54.175                        
Adi Keyh                      14.8333                       14.8333                       14.8333                       
Dehui                         44.5333                       44.5333                       44.5333                       
Raahe                         64.6833                       64.6833                       64.6833                       
Chongshan                     18.7787                       18.7787                       18.7787                       
Samdrup Jongkhar              26.8                          26.8                          26.8                          
Pryluky                       50.6                          50.6                          50.6                          
Samtredia                     42.1625                       42.1625                       42.1625                       
Fareham                       50.85                         50.85                         50.85                         
Bhubaneshwar                  20.27                         20.27                         20.27                         
Kalanak                       39.0833                       39.0833                       39.0833                       
Hailin                        44.5735                       44.5735                       44.5735                       
Agege                         6.6219                        6.6219                        6.6219                        
Upata                         8.0204                        8.0204                        8.0204                        
Pleasant Hill                 39.4488                       37.9539                       41.5867                       
Liberty                       40.5263                       39.2394                       41.8132                       
Tongchuan                     34.9057                       34.9057                       34.9057                       
Chengxiang                    31.4515                       31.4515                       31.4515                       
Tubao                         16.35                         16.35                         16.35                         
Machchand                     26.3241                       26.3241                       26.3241                       
Eppelheim                     49.4                          49.4                          49.4                          
Yamamoto                      37.9627                       37.9627                       37.9627                       
Rosamond                      34.8658                       34.8658                       34.8658                       
Krasnoznamensk                55.6008                       55.6008                       55.6008                       
Sakai                         35.6162                       34.5733                       36.1669                       
Magwe                         4.1333                        4.1333                        4.1333                        
Frontignan                    43.4483                       43.4483                       43.4483                       
Butterworth                   5.3992                        5.3992                        5.3992                        
Haarlem                       52.3833                       52.3833                       52.3833                       
Kasuga                        33.5333                       33.5333                       33.5333                       
Flero                         45.4835                       45.4835                       45.4835                       
Tunja                         5.5333                        5.5333                        5.5333                        
Kambar                        27.5868                       27.5868                       27.5868                       
Cambridge                     32.0328                       -37.8833                      52.2053                       
Sunshi                        38.7631                       38.7631                       38.7631                       
Maumere                       -8.6222                       -8.6222                       -8.6222                       
Mediouna                      33.45                         33.45                         33.45                         
Twistringen                   52.8                          52.8                          52.8                          
Matamey                       13.4                          13.4                          13.4                          
Bhayandar                     19.29                         19.29                         19.29                         
Huadian                       42.9633                       42.9633                       42.9633                       
Waxhaw                        34.9363                       34.9363                       34.9363                       
Goma                          -1.6794                       -1.6794                       -1.6794                       
Zijinglu                      34.7513                       34.7513                       34.7513                       
Briceni                       48.3611                       48.3611                       48.3611                       
Lanxi                         37.7415                       29.2167                       46.2664                       
Andrijevica                   42.73                         42.73                         42.73                         
Omaha                         41.2627                       41.2627                       41.2627                       
McAllen                       26.2252                       26.2252                       26.2252                       
Hamar                         60.7945                       60.7945                       60.7945                       
Dongyang                      29.2785                       29.2785                       29.2785                       
Kendall                       25.6697                       25.6697                       25.6697                       
Ankafina Tsarafidy            -21.2                         -21.2                         -21.2                         
Palermo                       20.5037                       2.8917                        38.1157                       
Shizuoka                      34.9756                       34.9756                       34.9756                       
El Paso                       20.7549                       9.6622                        31.8476                       
Ladan Kara                    40.9264                       40.9264                       40.9264                       
Marple                        46.6812                       39.9654                       53.397                        
Comala                        19.3208                       19.3208                       19.3208                       
Etchojoa                      26.8667                       26.8667                       26.8667                       
Hamamatsu                     34.7108                       34.7108                       34.7108                       
Werne an der Lippe            51.6667                       51.6667                       51.6667                       
San Blas                      21.5397                       21.5397                       21.5397                       
Chaohucun                     31.6783                       31.6783                       31.6783                       
Cencheng                      22.9297                       22.9297                       22.9297                       
Dalandzadgad                  43.5708                       43.5708                       43.5708                       
Panay                         11.5553                       11.5553                       11.5553                       
Waltenhofen                   47.6667                       47.6667                       47.6667                       
Mahamda                       25.8108                       25.8108                       25.8108                       
Sukkur                        27.7061                       27.7061                       27.7061                       
Frankfurt                     50.1106                       50.1106                       50.1106                       
Wanaka                        -44.7                         -44.7                         -44.7                         
Rimouski                      48.45                         48.45                         48.45                         
Marolinta                     -25.1                         -25.1                         -25.1                         
Novomoskovsk                  51.3581                       48.6328                       54.0833                       
Palmview                      26.2318                       26.2318                       26.2318                       
Prokopyevsk                   53.8833                       53.8833                       53.8833                       
Grand Bourg                   -34.4833                      -34.4833                      -34.4833                      
Pskov                         57.8167                       57.8167                       57.8167                       
Kunigal                       13.0232                       13.0232                       13.0232                       
Tidjikja                      18.55                         18.55                         18.55                         
Songzi                        30.1772                       30.1772                       30.1772                       
Hyattsville                   38.9613                       38.9613                       38.9613                       
Votorantim                    -23.5469                      -23.5469                      -23.5469                      
Zhongba                       31.7761                       31.7761                       31.7761                       
Umingan                       15.9289                       15.9289                       15.9289                       
Qingnian                      36.8494                       36.8494                       36.8494                       
Qamdo                         31.1375                       31.1375                       31.1375                       
Envigado                      6.1667                        6.1667                        6.1667                        
Siemiatycze                   52.4272                       52.4272                       52.4272                       
Ciudad Sahagun                19.7714                       19.7714                       19.7714                       
Sahaspur                      29.121                        29.121                        29.121                        
San Pedro Sula                15.5                          15.5                          15.5                          
Villa El Carmen               11.9794                       11.9794                       11.9794                       
Birkenfeld                    48.8697                       48.8697                       48.8697                       
Xinhualu                      34.3962                       34.3962                       34.3962                       
Guangshui                     31.6189                       31.6189                       31.6189                       
Legazpi City                  13.1333                       13.1333                       13.1333                       
Tetela de Ocampo              19.8167                       19.8167                       19.8167                       
Baardheere                    2.3333                        2.3333                        2.3333                        
Harihans                      26.1457                       26.1457                       26.1457                       
Ceyhan                        37.0289                       37.0289                       37.0289                       
Samarinda                     -0.5                          -0.5                          -0.5                          
Burco                         9.5279                        9.5279                        9.5279                        
Bloomington                   39.6325                       34.0601                       44.8306                       
Garbsen                       52.4183                       52.4183                       52.4183                       
Hoorn                         52.65                         52.65                         52.65                         
Oulad Salmane                 34.3356                       34.3356                       34.3356                       
Thiruvananthapuram            8.4875                        8.4875                        8.4875                        
Emiliano Zapata               17.9649                       16.5                          19.65                         
Cubal                         -13.1117                      -13.1117                      -13.1117                      
Los Mochis                    25.7835                       25.7835                       25.7835                       
Kyaukse                       21.6131                       21.6131                       21.6131                       
Puerto Octay                  -40.9667                      -40.9667                      -40.9667                      
Fukuyama                      34.4833                       34.4833                       34.4833                       
Osogbo                        7.7667                        7.7667                        7.7667                        
Rochester                     44.9088                       42.6866                       51.375                        
Wugang                        26.7345                       26.7345                       26.7345                       
La Serena                     -29.9                         -29.9                         -29.9                         
Southfield                    42.4765                       42.4765                       42.4765                       
Wenden                        50.9667                       50.9667                       50.9667                       
Vilnohirsk                    48.4781                       48.4781                       48.4781                       
Cagua                         10.1875                       10.1875                       10.1875                       
Koulamoutou                   -1.1333                       -1.1333                       -1.1333                       
Gulfport                      29.0868                       27.7463                       30.4274                       
